,month,cpi
354,1990.1,4.299999999999997
345,1990.10,3.0999999999999943
344,1990.11,3.700000000000003
343,1990.12,4.299999999999997
353,1990.2,4.400000000000006
352,1990.3,3.4000000000000057
351,1990.4,3.200000000000003
350,1990.5,2.700000000000003
349,1990.6,1.0999999999999943
348,1990.7,1.0999999999999943
347,1990.8,2.5
346,1990.9,2.9000000000000057
342,1991.1,2.200000000000003
333,1991.10,4.799999999999997
332,1991.11,4.400000000000006
331,1991.12,4.5
341,1991.2,1.0
340,1991.3,1.5999999999999943
339,1991.4,1.2999999999999972
338,1991.5,3.5999999999999943
337,1991.6,4.400000000000006
336,1991.7,4.700000000000003
335,1991.8,4.900000000000006
334,1991.9,4.5
330,1992.1,5.5
321,1992.10,7.900000000000006
320,1992.11,8.200000000000003
319,1992.12,8.799999999999997
329,1992.2,5.299999999999997
328,1992.3,5.299999999999997
327,1992.4,7.099999999999994
326,1992.5,4.700000000000003
325,1992.6,4.799999999999997
324,1992.7,5.200000000000003
323,1992.8,5.799999999999997
322,1992.9,7.5
318,1993.1,10.299999999999997
309,1993.10,15.900000000000006
308,1993.11,16.700000000000003
307,1993.12,18.799999999999997
317,1993.2,10.5
316,1993.3,12.200000000000003
315,1993.4,12.599999999999994
314,1993.5,14.0
313,1993.6,15.099999999999994
312,1993.7,16.200000000000003
311,1993.8,16.0
310,1993.9,15.700000000000003
306,1994.1,21.099999999999994
297,1994.10,27.700000000000003
296,1994.11,27.5
295,1994.12,25.5
305,1994.2,23.200000000000003
304,1994.3,22.400000000000006
303,1994.4,21.700000000000003
302,1994.5,21.299999999999997
301,1994.6,22.599999999999994
300,1994.7,24.0
299,1994.8,25.799999999999997
298,1994.9,27.299999999999997
294,1995.1,24.099999999999994
285,1995.10,12.099999999999994
284,1995.11,11.200000000000003
283,1995.12,10.099999999999994
293,1995.2,22.400000000000006
292,1995.3,21.299999999999997
291,1995.4,20.700000000000003
290,1995.5,20.299999999999997
289,1995.6,18.200000000000003
288,1995.7,16.700000000000003
287,1995.8,14.5
286,1995.9,13.200000000000003
282,1996.1,9.0
273,1996.10,7.0
272,1996.11,6.900000000000006
271,1996.12,7.0
281,1996.2,9.299999999999997
280,1996.3,9.799999999999997
279,1996.4,9.700000000000003
278,1996.5,8.900000000000006
277,1996.6,8.599999999999994
276,1996.7,8.299999999999997
275,1996.8,8.099999999999994
274,1996.9,7.400000000000006
270,1997.1,5.900000000000006
261,1997.10,1.5
260,1997.11,1.0999999999999943
259,1997.12,0.4000000000000057
269,1997.2,5.599999999999994
268,1997.3,4.0
267,1997.4,3.200000000000003
266,1997.5,2.799999999999997
265,1997.6,2.799999999999997
264,1997.7,2.700000000000003
263,1997.8,1.9000000000000057
262,1997.9,1.7999999999999972
258,1998.1,0.29999999999999716
249,1998.10,-1.0999999999999943
248,1998.11,-1.2000000000000028
247,1998.12,-1.0
257,1998.2,-0.09999999999999432
256,1998.3,0.7000000000000028
255,1998.4,-0.29999999999999716
254,1998.5,-1.0
253,1998.6,-1.2999999999999972
252,1998.7,-1.4000000000000057
251,1998.8,-1.4000000000000057
250,1998.9,-1.5
246,1999.1,-1.2000000000000028
237,1999.10,-0.5999999999999943
236,1999.11,-0.9000000000000057
235,1999.12,-1.0
245,1999.2,-1.2999999999999972
244,1999.3,-1.7999999999999972
243,1999.4,-2.200000000000003
242,1999.5,-2.200000000000003
241,1999.6,-2.0999999999999943
240,1999.7,-1.4000000000000057
239,1999.8,-1.2999999999999972
238,1999.9,-0.7999999999999972
234,2000.1,-0.20000000000000284
225,2000.10,0.0
224,2000.11,1.2999999999999972
223,2000.12,1.5
233,2000.2,0.7000000000000028
232,2000.3,-0.20000000000000284
231,2000.4,-0.29999999999999716
230,2000.5,0.09999999999999432
229,2000.6,0.5
228,2000.7,0.5
227,2000.8,0.29999999999999716
226,2000.9,0.0
222,2001.1,1.2000000000000028
213,2001.10,0.20000000000000284
212,2001.11,-0.29999999999999716
211,2001.12,-0.29999999999999716
221,2001.2,0.0
220,2001.3,0.7999999999999972
219,2001.4,1.5999999999999943
218,2001.5,1.7000000000000028
217,2001.6,1.4000000000000057
216,2001.7,1.5
215,2001.8,1.0
214,2001.9,-0.09999999999999432
210,2002.1,-1.0
201,2002.10,-0.7999999999999972
200,2002.11,-0.7000000000000028
199,2002.12,-0.4000000000000057
209,2002.2,0.0
208,2002.3,-0.7999999999999972
207,2002.4,-1.2999999999999972
206,2002.5,-1.0999999999999943
205,2002.6,-0.7999999999999972
204,2002.7,-0.9000000000000057
203,2002.8,-0.7000000000000028
202,2002.9,-0.7000000000000028
198,2003.1,0.4000000000000057
189,2003.10,1.7999999999999972
188,2003.11,3.0
187,2003.12,3.200000000000003
197,2003.2,0.20000000000000284
196,2003.3,0.9000000000000057
195,2003.4,1.0
194,2003.5,0.7000000000000028
193,2003.6,0.29999999999999716
192,2003.7,0.5
191,2003.8,0.9000000000000057
190,2003.9,1.0999999999999943
186,2004.1,3.200000000000003
177,2004.10,4.299999999999997
176,2004.11,2.799999999999997
175,2004.12,2.4000000000000057
185,2004.2,2.0999999999999943
184,2004.3,3.0
183,2004.4,3.799999999999997
182,2004.5,4.400000000000006
181,2004.6,5.0
180,2004.7,5.299999999999997
179,2004.8,5.299999999999997
178,2004.9,5.200000000000003
174,2005.1,1.9000000000000057
165,2005.10,1.2000000000000028
164,2005.11,1.2999999999999972
163,2005.12,1.5999999999999943
173,2005.2,3.9000000000000057
172,2005.3,2.700000000000003
171,2005.4,1.7999999999999972
170,2005.5,1.7999999999999972
169,2005.6,1.5999999999999943
168,2005.7,1.7999999999999972
167,2005.8,1.2999999999999972
166,2005.9,0.9000000000000057
162,2006.1,1.9000000000000057
153,2006.10,1.4000000000000057
152,2006.11,1.9000000000000057
151,2006.12,2.799999999999997
161,2006.2,0.9000000000000057
160,2006.3,0.7999999999999972
159,2006.4,1.2000000000000028
158,2006.5,1.4000000000000057
157,2006.6,1.5
156,2006.7,1.0
155,2006.8,1.2999999999999972
154,2006.9,1.5
150,2007.1,2.200000000000003
141,2007.10,6.5
140,2007.11,6.900000000000006
139,2007.12,6.5
149,2007.2,2.700000000000003
148,2007.3,3.299999999999997
147,2007.4,3.0
146,2007.5,3.4000000000000057
145,2007.6,4.400000000000006
144,2007.7,5.599999999999994
143,2007.8,6.5
142,2007.9,6.200000000000003
138,2008.1,7.099999999999994
129,2008.10,4.0
128,2008.11,2.4000000000000057
127,2008.12,1.2000000000000028
137,2008.2,8.700000000000003
136,2008.3,8.299999999999997
135,2008.4,8.5
134,2008.5,7.700000000000003
133,2008.6,7.099999999999994
132,2008.7,6.299999999999997
131,2008.8,4.900000000000006
130,2008.9,4.599999999999994
126,2009.1,1.0
117,2009.10,-0.5
116,2009.11,0.5999999999999943
115,2009.12,1.9000000000000057
125,2009.2,-1.5999999999999943
124,2009.3,-1.2000000000000028
123,2009.4,-1.5
122,2009.5,-1.4000000000000057
121,2009.6,-1.7000000000000028
120,2009.7,-1.7999999999999972
119,2009.8,-1.2000000000000028
118,2009.9,-0.7999999999999972
114,2010.1,1.5
105,2010.10,4.400000000000006
104,2010.11,5.099999999999994
103,2010.12,4.599999999999994
113,2010.2,2.700000000000003
112,2010.3,2.4000000000000057
111,2010.4,2.799999999999997
110,2010.5,3.0999999999999943
109,2010.6,2.9000000000000057
108,2010.7,3.299999999999997
107,2010.8,3.5
106,2010.9,3.5999999999999943
102,2011.1,4.900000000000006
93,2011.10,5.5
92,2011.11,4.200000000000003
91,2011.12,4.099999999999994
101,2011.2,4.900000000000006
100,2011.3,5.400000000000006
99,2011.4,5.299999999999997
98,2011.5,5.5
97,2011.6,6.400000000000006
96,2011.7,6.5
95,2011.8,6.200000000000003
94,2011.9,6.099999999999994
90,2012.1,4.549999999999997
81,2012.10,1.7199999999999989
80,2012.11,2.0400000000000063
79,2012.12,2.519999999999996
89,2012.2,3.1599999999999966
88,2012.3,3.5900000000000034
87,2012.4,3.3700000000000045
86,2012.5,3.0
85,2012.6,2.1500000000000057
84,2012.7,1.7800000000000011
83,2012.8,2.049999999999997
82,2012.9,1.9099999999999966
78,2013.1,2.030000000000001
69,2013.10,3.2099999999999937
68,2013.11,3.019999999999996
67,2013.12,2.6500000000000057
77,2013.2,3.219999999999999
76,2013.3,2.069999999999993
75,2013.4,2.3900000000000006
74,2013.5,2.0999999999999943
73,2013.6,2.6700000000000017
72,2013.7,2.6700000000000017
71,2013.8,2.569999999999993
70,2013.9,3.049999999999997
66,2014.1,2.489999999999995
57,2014.10,1.5999999999999943
56,2014.11,1.4399999999999977
55,2014.12,2.6200000000000045
65,2014.2,1.9500000000000028
64,2014.3,2.3799999999999955
63,2014.4,1.7999999999999972
62,2014.5,2.480000000000004
61,2014.6,2.3400000000000034
60,2014.7,2.2900000000000063
59,2014.8,1.9899999999999949
58,2014.9,1.6299999999999955
54,2015.1,0.7600000000000051
45,2015.10,1.269999999999996
44,2015.11,1.4899999999999949
43,2015.12,1.6400000000000006
53,2015.2,1.4300000000000068
52,2015.3,1.3799999999999955
51,2015.4,1.5100000000000051
50,2015.5,1.230000000000004
49,2015.6,1.3900000000000006
48,2015.7,1.6500000000000057
47,2015.8,1.9599999999999937
46,2015.9,1.5999999999999943
42,2016.1,1.7999999999999972
33,2016.10,2.0999999999999943
32,2016.11,2.25
31,2016.12,2.0799999999999983
41,2016.2,2.299999999999997
40,2016.3,2.299999999999997
39,2016.4,2.3299999999999983
38,2016.5,2.0400000000000063
37,2016.6,1.8799999999999955
36,2016.7,1.769999999999996
35,2016.8,1.3400000000000034
34,2016.9,1.9000000000000057
30,2017.1,2.549999999999997
21,2017.10,1.8700000000000045
20,2017.11,1.730000000000004
19,2017.12,2.0
29,2017.2,0.7999999999999972
28,2017.3,0.9200000000000017
27,2017.4,1.1700000000000017
26,2017.5,1.519999999999996
25,2017.6,1.5
24,2017.7,1.4000000000000057
23,2017.8,1.769999999999996
22,2017.9,1.5999999999999943
18,2018.1,1.4699999999999989
9,2018.10,2.5400000000000063
8,2018.11,2.180000000000007
7,2018.12,1.8599999999999994
17,2018.2,2.9000000000000057
16,2018.3,2.0600000000000023
15,2018.4,1.7999999999999972
14,2018.5,1.75
13,2018.6,1.8499999999999943
12,2018.7,2.0999999999999943
11,2018.8,2.299999999999997
10,2018.9,2.5
6,2019.1,1.7399999999999949
5,2019.2,1.4899999999999949
4,2019.3,2.280000000000001
3,2019.4,2.5400000000000063
2,2019.5,2.739999999999995
1,2019.6,2.680000000000007
0,2019.7,2.799999999999997
